scenario,seed,channel,lambda,par,fpr,fnr,par_zero,delta_proc,coupling_proxy
normal_flow,26,zone_permutation,0.25,0.9444,0.0,0.0556,0.9444,0.0,0.9969
normal_flow,27,zone_permutation,0.25,0.9444,0.0,0.0556,0.9444,0.0,0.9922
normal_flow,28,zone_permutation,0.25,0.9722,0.0,0.0278,0.9722,0.0,0.9969
normal_flow,29,zone_permutation,0.25,0.9444,0.0,0.0556,0.9444,0.0,0.9909
normal_flow,30,zone_permutation,0.25,0.8333,0.0,0.1667,0.8333,0.0,0.995
exit_blockage,1,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.952
exit_blockage,2,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.9319
exit_blockage,3,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.9651
exit_blockage,4,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.9632
exit_blockage,5,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.9254
exit_blockage,6,zone_permutation,0.25,0.85,0.0,0.15,0.85,0.0,0.8809
exit_blockage,7,zone_permutation,0.25,0.85,0.0,0.15,0.85,0.0,0.961
exit_blockage,8,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.9244
exit_blockage,9,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.9521
exit_blockage,10,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.9097
exit_blockage,11,zone_permutation,0.25,0.85,0.0,0.15,0.85,0.0,0.9052
exit_blockage,12,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.8927
exit_blockage,13,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.8775
exit_blockage,14,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.9674
exit_blockage,15,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.9545
exit_blockage,16,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.9194
exit_blockage,17,zone_permutation,0.25,0.9048,0.05,0.05,0.9048,0.0,0.9704
exit_blockage,18,zone_permutation,0.25,0.85,0.0,0.15,0.85,0.0,0.916
exit_blockage,19,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.8912
exit_blockage,20,zone_permutation,0.25,0.9048,0.05,0.05,0.9048,0.0,0.9712
exit_blockage,21,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.9358
exit_blockage,22,zone_permutation,0.25,0.9048,0.05,0.05,0.9048,0.0,0.9134
exit_blockage,23,zone_permutation,0.25,0.9048,0.05,0.05,0.9048,0.0,0.9572
exit_blockage,24,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.8829
exit_blockage,25,zone_permutation,0.25,0.85,0.0,0.15,0.85,0.0,0.899
exit_blockage,26,zone_permutation,0.25,0.8571,0.0526,0.1,0.8571,0.0,0.9558
exit_blockage,27,zone_permutation,0.25,0.85,0.0,0.15,0.85,0.0,0.9263
exit_blockage,28,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.959
exit_blockage,29,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.8842
exit_blockage,30,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.9001
multimodal_conflict,1,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.8299
multimodal_conflict,2,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.7085
multimodal_conflict,3,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.8123
multimodal_conflict,4,zone_permutation,0.25,0.6,0.0,0.4,0.6,0.0,0.5837
multimodal_conflict,5,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.795
multimodal_conflict,6,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.8071
multimodal_conflict,7,zone_permutation,0.25,0.7,0.0,0.3,0.7,0.0,0.7643
multimodal_conflict,8,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.8703
multimodal_conflict,9,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.8072
multimodal_conflict,10,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,1.0
multimodal_conflict,11,zone_permutation,0.25,0.7,0.0,0.3,0.7,0.0,0.7614
multimodal_conflict,12,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.7164
multimodal_conflict,13,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.677
multimodal_conflict,14,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.7908
multimodal_conflict,15,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.721
multimodal_conflict,16,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.7582
multimodal_conflict,17,zone_permutation,0.25,0.6,0.0,0.4,0.6,0.0,0.776
multimodal_conflict,18,zone_permutation,0.25,0.5,0.0,0.5,0.5,0.0,0.5919
multimodal_conflict,19,zone_permutation,0.25,0.7,0.0,0.3,0.7,0.0,0.8704
multimodal_conflict,20,zone_permutation,0.25,0.5,0.0,0.5,0.5,0.0,0.7262
multimodal_conflict,21,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.87
multimodal_conflict,22,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.7364
multimodal_conflict,23,zone_permutation,0.25,0.4,0.0,0.6,0.4,0.0,0.7208
multimodal_conflict,24,zone_permutation,0.25,0.7,0.0,0.3,0.7,0.0,0.5957
multimodal_conflict,25,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.6583
multimodal_conflict,26,zone_permutation,0.25,0.7,0.0,0.3,0.7,0.0,0.6583
multimodal_conflict,27,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.7866
multimodal_conflict,28,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.7514
multimodal_conflict,29,zone_permutation,0.25,0.5,0.0,0.5,0.5,0.0,0.4646
multimodal_conflict,30,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.7013
evacuation_recommendation,1,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.9993
evacuation_recommendation,2,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.9971
evacuation_recommendation,3,zone_permutation,0.25,0.8,0.0,0.2,0.8,0.0,0.9985
evacuation_recommendation,4,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.9991
evacuation_recommendation,5,zone_permutation,0.25,1.0,0.0,0.0,1.0,0.0,0.9983
evacuation_recommendation,6,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.999
evacuation_recommendation,7,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.9991
evacuation_recommendation,8,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.999
evacuation_recommendation,9,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.999
evacuation_recommendation,10,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.9978
evacuation_recommendation,11,zone_permutation,0.25,1.0,0.0,0.0,1.0,0.0,0.9964
evacuation_recommendation,12,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.9951
evacuation_recommendation,13,zone_permutation,0.25,1.0,0.0,0.0,1.0,0.0,0.9969
evacuation_recommendation,14,zone_permutation,0.25,1.0,0.0,0.0,1.0,0.0,0.9979
evacuation_recommendation,15,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.9991
evacuation_recommendation,16,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.9987
evacuation_recommendation,17,zone_permutation,0.25,1.0,0.0,0.0,1.0,0.0,0.9977
evacuation_recommendation,18,zone_permutation,0.25,0.95,0.0,0.05,0.95,0.0,0.9984
evacuation_recommendation,19,zone_permutation,0.25,0.9,0.0,0.1,0.9,0.0,0.9978
evacuation_recommendation,20,zone_permutation,0.25,1.0,0.0,0.0,1.0,0.0,0.9992
